"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"1","ENSG00000000005",-4.73502475324201,-1.38006070784591,-27.5493788274714,4.38767238796382e-121,9.65988478086253e-119,265.797696321718,"TNMD"
"2","ENSG00000003096",-3.20856115766686,2.6332233983318,-24.5625468048654,5.8832809307447e-102,5.35194712168682e-100,221.784092962422,"KLHL13"
"3","ENSG00000004776",-3.85424606156514,0.843087280602497,-27.0855955538539,4.25349438088118e-118,7.79281813179762e-116,258.915881474876,"HSPB6"
"4","ENSG00000004799",-3.30043399721669,5.3216637532545,-21.4155916795958,2.80183395275562e-82,1.26342939291299e-80,176.501552868445,"PDK4"
"5","ENSG00000004838",3.01520170517667,2.46748577419746,19.5061252433934,9.5925574536036e-71,2.81113437054766e-69,150.283272188765,"ZMYND10"
"6","ENSG00000004846",-4.03303748063502,-1.82162456797463,-24.0402257566663,1.19925218223937e-98,9.75751798835069e-97,214.292328865685,"ABCB5"
"7","ENSG00000005102",-3.03130616952115,1.9537898212465,-20.5140975832478,8.71477555893205e-77,3.18435711113613e-75,163.97715906463,"MEOX1"
"8","ENSG00000005513",-2.40482473478034,0.479446550931774,-11.9778240879737,9.65947599259353e-31,6.7055805916788e-30,58.6409246101153,"SOX8"
"9","ENSG00000005981",-2.57367975356228,-2.86777463881093,-14.8685385313667,8.55952528806435e-45,1.0282026731866e-43,90.904708022595,"ASB4"
"10","ENSG00000006210",-3.06214815585218,5.84639183391284,-23.596044675684,7.6135287063058e-96,5.47985820265126e-94,207.676166881169,"CX3CL1"
"11","ENSG00000007062",-2.65099687851664,4.27191474724884,-11.2308514198296,1.88365578834949e-27,1.13788097761052e-26,50.769930633204,"PROM1"
"12","ENSG00000007216",-2.3956973703479,0.369170666360693,-9.93910253493418,3.88215345502552e-22,1.83788468319865e-21,38.9052326313085,"SLC13A2"
"13","ENSG00000007314",-3.02104440555372,0.743075008529426,-25.4990126334027,6.37974952804005e-108,7.17352179764469e-106,235.55462340426,"SCN4A"
"14","ENSG00000008735",2.32473518135214,3.9353462994519,10.93515261159,3.4237393525908e-26,1.95549481793168e-25,48.165051662051,"MAPK8IP2"
"15","ENSG00000009694",-2.75591543864779,-0.577141030349087,-17.7701182718763,1.2377623609964e-60,2.61096103830471e-59,127.09263295151,"TENM1"
"16","ENSG00000009950",-3.10934129472873,0.990630994496625,-21.8055609255482,1.11734044797252e-84,5.43102085277033e-83,182.152153072201,"MLXIPL"
"17","ENSG00000010282",-2.90326957034194,-4.46238116459148,-18.8267751096718,9.69168421335063e-67,2.48446609300952e-65,141.143089722158,"HHATL"
"18","ENSG00000011426",2.46651534900798,4.43871948500316,17.3137385530246,4.78038688862655e-58,9.19540059435587e-57,121.118976698837,"ANLN"
"19","ENSG00000013293",-3.15379612752131,-4.18872705684472,-24.3216992647516,1.98285334696606e-100,1.68664853367415e-98,218.288364106048,"SLC7A14"
"20","ENSG00000013297",-2.57940259758829,2.57087179539906,-22.9976517168519,4.35021249970093e-92,2.71360041142059e-90,199.105290791306,"CLDN11"
"21","ENSG00000013588",2.37779131836245,7.43950922812137,16.7141909911482,1.06506364634405e-54,1.78983979926669e-53,113.149324033995,"GPRC5A"
"22","ENSG00000015413",2.63270096858046,-0.247395263976436,15.4225402734101,1.06490439823201e-47,1.40977414498638e-46,97.5614948132602,"DPEP1"
"23","ENSG00000016602",-4.38398699771821,-2.48571387738895,-22.701929453306,3.06504898056058e-90,1.8045217582406e-88,195.002527918184,"CLCA4"
"24","ENSG00000018625",-4.1564682436638,1.12766436941858,-29.406314358219,4.53206219849528e-133,1.97892495897296e-130,293.307870052965,"ATP1A2"
"25","ENSG00000019169",-3.41323282934196,0.6549513543863,-17.0890428869084,8.73100225485426e-57,1.58849672274255e-55,118.215758536473,"MARCO"
"26","ENSG00000019505",3.28689982380836,2.52878238886919,7.33512298018936,5.01347201857253e-13,1.47053239380409e-12,18.3786449130642,"SYT13"
"27","ENSG00000022267",-3.9466585052657,5.31320437296909,-27.100946811706,3.38813363779054e-118,6.38602253068161e-116,259.071256786455,"FHL1"
"28","ENSG00000025423",2.92575705039877,1.7370474149684,23.447734307533,6.52868254089986e-95,4.51305946936769e-93,205.709419796773,"HSD17B6"
"29","ENSG00000029559",5.40412433404769,-0.72573838465819,15.3160709396376,3.89383537274944e-47,5.06778901791667e-46,96.301247322741,"IBSP"
"30","ENSG00000034239",-2.874327259482,-0.919043321986913,-17.2227374495749,1.5537568879567e-57,2.91596538019896e-56,119.996275516721,"CLXN"
"31","ENSG00000034971",-6.3365935803838,-3.36197158047218,-35.2409140941803,1.390247908544e-170,4.04701166177158e-167,379.331147586825,"MYOC"
"32","ENSG00000039537",-2.531830529948,-0.383118700226158,-10.9396713315552,3.27673608377776e-26,1.87234915286573e-25,48.2566494382674,"C6"
"33","ENSG00000043591",-2.57220841908574,-1.08370225237712,-12.9593701179883,2.73820175655049e-35,2.28538221789953e-34,69.0772304011508,"ADRB1"
"34","ENSG00000049283",2.37235373811293,4.39134240299812,16.0332140153906,5.69872433691609e-51,8.42080535267144e-50,104.838022735745,"EPN3"
"35","ENSG00000052850",-3.12834553736556,0.615395932131267,-18.6911085765439,6.01198978039049e-66,1.50294007878292e-64,139.193887796877,"ALX4"
"36","ENSG00000053438",-2.90400895343478,0.307521542589761,-21.3041342934814,1.35118431118746e-81,5.88873397886777e-80,175.121144087065,"NNAT"
