"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"1","ENSG00000000005",-5.62827482368763,-1.38006070784591,-24.8561680130627,8.0070535912148e-104,5.63916121065152e-102,226.168952491757,"TNMD"
"2","ENSG00000003096",-2.86239344106631,2.6332233983318,-17.8513784034597,4.25322503712859e-61,7.63743953034489e-60,127.934174294383,"KLHL13"
"3","ENSG00000003989",-3.68026861760597,6.1068086715665,-12.9532212852897,2.92893551848117e-35,1.99831202210125e-34,68.6540240772074,"SLC7A2"
"4","ENSG00000004776",-5.08318414766146,0.843087280602497,-26.4815427239843,3.2469960563275e-114,3.16238102898603e-112,250.019386637729,"HSPB6"
"5","ENSG00000004799",-4.83457678122479,5.3216637532545,-25.3233597786684,8.44093855007028e-107,6.56214092205612e-105,232.876966411553,"PDK4"
"6","ENSG00000004846",-5.55202325231934,-1.82162456797463,-24.9096405253337,3.65763501931812e-104,2.60397771388901e-102,226.933148196891,"ABCB5"
"7","ENSG00000004948",-2.96702620329882,-1.81864767322482,-16.8250664925844,2.5865103339246e-55,3.75840178804717e-54,114.961430368446,"CALCR"
"8","ENSG00000005102",-3.72988117174233,1.9537898212465,-19.2877052117007,1.88665690632494e-69,4.46912516173662e-68,147.182418795158,"MEOX1"
"9","ENSG00000006071",-5.39916942107073,1.56007373816005,-18.4173086024617,2.35041009516987e-64,4.74409815742337e-63,135.656555405814,"ABCC8"
"10","ENSG00000006128",-4.65694447928393,-2.19518710458297,-17.359164799938,2.65112073095287e-58,4.29540581510416e-57,121.831002308438,"TAC1"
"11","ENSG00000007174",-3.99209374157019,-1.08900757009377,-20.8226799284052,1.1720051767069e-78,3.5745475697956e-77,168.445383195328,"DNAH9"
"12","ENSG00000007216",-4.72771396180356,0.369170666360693,-14.9638871483423,2.73439563516801e-45,2.70129831243464e-44,91.9018583662586,"SLC13A2"
"13","ENSG00000007314",-4.35811219887213,0.743075008529426,-28.00102945727,5.37407996019317e-124,7.52917223941716e-122,272.486732878581,"SCN4A"
"14","ENSG00000007372",4.37561532104764,-2.70953273636222,15.3919526757639,1.54632789880583e-47,1.67198698393785e-46,97.2114293161022,"PAX6"
"15","ENSG00000007968",3.81449753642539,2.49504515189211,28.0667468243771,2.02470527559e-124,2.88289421278166e-122,273.457667080835,"E2F2"
"16","ENSG00000008196",-4.26360942252618,3.42810503107943,-8.74733947941644,1.09105818204779e-17,3.52809594068996e-17,28.7163446953047,"TFAP2B"
"17","ENSG00000009950",-4.2714666009049,0.990630994496625,-22.7371313427993,1.84835597674866e-90,8.40713163799272e-89,195.465897346959,"MLXIPL"
"18","ENSG00000010282",-3.5993077342083,-4.46238116459148,-18.2701634485305,1.66925440117778e-63,3.24909331771595e-62,133.732087674611,"HHATL"
"19","ENSG00000010319",-3.89532135544804,4.63184189482128,-29.1106927957955,3.68269691276221e-131,6.99152003025052e-129,288.896060380677,"SEMA3G"
"20","ENSG00000011426",4.68510694652553,4.43871948500316,31.1899383781179,1.36878465653435e-144,5.2736454730211e-142,319.796489356058,"ANLN"
"21","ENSG00000011465",-3.1415076763494,9.08760092109739,-18.9615042440092,1.57350912688123e-67,3.51144511202397e-66,142.606587231297,"DCN"
"22","ENSG00000011677",3.204864377617,-4.16427801698443,9.91935501663425,4.63915132467815e-22,1.82220578043842e-21,39.1339180245188,"GABRA3"
"23","ENSG00000013293",-3.05517398358937,-4.18872705684472,-19.2561924642921,2.89647739856853e-69,6.81192202559219e-68,146.922467980872,"SLC7A14"
"24","ENSG00000013297",-3.65686124316456,2.57087179539906,-24.617108885986,2.64939408344172e-102,1.79822475627175e-100,222.623020387777,"CLDN11"
"25","ENSG00000013810",3.03493322401655,5.00531106334887,27.7417105609831,2.52692043231145e-122,3.32677328674009e-120,268.605295477422,"TACC3"
"26","ENSG00000016402",-3.11283860690919,3.52587215784521,-13.7023431150853,6.86933414514766e-39,5.36902402352994e-38,77.0566346235946,"IL20RA"
"27","ENSG00000016602",-3.5812112484479,-2.48571387738895,-15.6263516345106,8.77610985270602e-49,9.95347627840022e-48,99.974267387584,"CLCA4"
"28","ENSG00000017427",-3.58875031047858,1.01206105727937,-21.8838922192623,3.6702398344867e-85,1.41823913604302e-83,183.319197309011,"IGF1"
"29","ENSG00000018625",-7.46243012595501,1.12766436941858,-35.2989040258865,5.94231921737344e-171,1.72980912417741e-167,380.32309301703,"ATP1A2"
"30","ENSG00000019102",-3.27999137179404,0.899604841943022,-13.9349539954128,4.82104572750967e-40,3.93355892292201e-39,79.8667380163609,"VSIG2"
"31","ENSG00000022267",-4.70341867932641,5.31320437296909,-27.053727883992,6.82021690983074e-118,7.57130774663795e-116,258.366270694072,"FHL1"
"32","ENSG00000024526",4.6679240148054,2.51941163113192,32.5193642542522,3.70833181535635e-153,2.20805875523911e-150,339.425454349242,"DEPDC1"
"33","ENSG00000026559",3.39315621569383,-0.318747195901653,14.4993144899553,6.81876572994319e-43,6.19434269621296e-42,86.4403780605341,"KCNG1"
"34","ENSG00000029559",6.3751217508203,-0.72573838465819,17.1720260398634,2.99283112115326e-57,4.66721324661275e-56,119.420039468698,"IBSP"
"35","ENSG00000029993",2.84646258424832,5.60606725622637,20.8645580198397,6.51984676407786e-79,2.01193716574883e-77,168.795155481977,"HMGB3"
